"Date","Price","Open","High","Low","Change %"
"11/01/2021","2.082","2.159","2.159","2.049","-1.61%"
"10/01/2021","2.116","2.121","2.140","2.108","-0.75%"
"09/01/2021","2.132","2.070","2.145","2.043","1.77%"
"08/01/2021","2.095","2.232","2.232","2.069","-2.69%"
"07/01/2021","2.153","2.161","2.161","2.101","-0.97%"
"06/01/2021","2.174","2.253","2.253","2.127","-4.36%"
"05/01/2021","2.273","2.400","2.400","2.273","-1.73%"
"04/01/2021","2.313","2.351","2.386","2.243","-3.06%"
"03/01/2021","2.386","2.335","2.431","2.295","1.32%"
"02/01/2021","2.355","2.279","2.375","2.208","2.21%"
"01/01/2021","2.304","2.541","2.541","2.060","-6.00%"
"12/01/2020","2.451","2.421","2.451","2.284","1.24%"
"11/01/2020","2.421","2.610","2.610","2.380","-5.94%"
"10/01/2020","2.574","2.782","2.782","2.457","-6.16%"
"09/01/2020","2.743","2.911","2.922","2.743","-4.52%"
"08/01/2020","2.873","2.965","2.970","2.859","-3.14%"
"07/01/2020","2.966","3.032","3.057","2.829","-2.21%"
"06/01/2020","3.033","3.192","3.192","3.018","-3.59%"
"05/01/2020","3.146","3.048","3.158","2.918","3.15%"
"04/01/2020","3.050","3.517","3.622","3.049","-13.28%"
"03/01/2020","3.517","2.900","3.540","2.234","23.14%"
"02/01/2020","2.856","3.156","3.328","2.822","-9.53%"
"01/01/2020","3.157","3.377","3.417","2.845","-6.54%"
"12/01/2019","3.378","3.568","3.568","3.369","-5.33%"
"11/01/2019","3.568","3.681","3.780","3.538","-2.22%"
"10/01/2019","3.649","4.057","4.057","3.546","-10.06%"
"09/01/2019","4.057","4.162","4.172","3.984","-2.52%"
"08/01/2019","4.162","4.456","4.478","4.162","-5.49%"
"07/01/2019","4.404","4.654","4.668","4.404","-5.37%"
"06/01/2019","4.654","4.701","4.701","4.652","-1.00%"
"05/01/2019","4.701","4.763","4.776","4.701","-1.32%"
"04/01/2019","4.764","4.827","4.827","4.753","-1.33%"
"03/01/2019","4.828","4.755","4.868","4.755","1.54%"
"02/01/2019","4.755","4.879","4.879","4.696","-2.58%"
"01/01/2019","4.881","5.166","5.171","4.881","-5.52%"
"12/01/2018","5.166","5.166","5.214","5.160","0.00%"
"11/01/2018","5.166","5.182","5.206","5.085","-0.33%"
"10/01/2018","5.183","5.028","5.183","5.026","3.08%"
"09/01/2018","5.028","5.185","5.218","4.961","-2.78%"
"08/01/2018","5.172","4.922","5.203","4.922","5.06%"
"07/01/2018","4.923","4.742","5.063","4.742","3.80%"
"06/01/2018","4.743","4.657","4.756","4.657","1.82%"
"05/01/2018","4.658","4.681","4.790","4.539","-0.51%"
"04/01/2018","4.682","4.196","4.682","4.177","11.58%"
"03/01/2018","4.196","4.306","4.306","4.101","-2.58%"
"02/01/2018","4.307","4.281","4.479","4.237","5.10%"
"01/01/2018","4.098","5.053","5.378","4.069","-18.90%"
"12/01/2017","5.053","5.387","5.387","5.000","-6.20%"
"11/01/2017","5.387","5.315","5.410","5.306","1.35%"
"10/01/2017","5.315","5.366","5.366","5.315","-0.95%"
"09/01/2017","5.366","5.501","5.501","5.366","-2.45%"
"08/01/2017","5.501","5.265","5.540","5.265","4.48%"
"07/01/2017","5.265","5.634","5.634","5.241","-6.55%"
"06/01/2017","5.634","5.845","5.865","5.634","-0.65%"
"05/01/2017","5.671","5.795","5.810","5.671","-2.11%"
"04/01/2017","5.793","5.826","5.835","5.758","-0.57%"
"03/01/2017","5.826","5.882","5.882","5.821","-0.95%"
"02/01/2017","5.882","6.010","6.010","5.882","-2.13%"
"01/01/2017","6.010","6.095","6.103","6.008","-1.39%"
"12/01/2016","6.095","6.046","6.122","6.038","0.81%"
"11/01/2016","6.046","5.971","6.100","5.969","1.26%"
"10/01/2016","5.971","6.218","6.253","5.971","-3.97%"
"09/01/2016","6.218","6.835","6.835","6.196","-9.03%"
"08/01/2016","6.835","6.921","6.929","6.834","-1.24%"
"07/01/2016","6.921","6.899","6.938","6.899","0.32%"
"06/01/2016","6.899","6.943","6.943","6.894","-0.63%"
"05/01/2016","6.943","6.943","6.943","6.943","0.00%"
"04/01/2016","6.943","6.868","6.950","6.868","1.09%"
"03/01/2016","6.868","6.863","6.892","6.863","0.07%"
"02/01/2016","6.863","7.037","7.095","6.863","-2.47%"
"01/01/2016","7.037","7.052","7.077","7.037","-0.21%"
"12/01/2015","7.052","7.060","7.068","7.052","-0.11%"
"11/01/2015","7.060","7.062","7.109","7.046","-0.03%"
"10/01/2015","7.062","7.041","7.096","7.006","0.30%"
